id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,sinopse,idioma_original,generos,diretor,roteirista
541671,Bailarina - Do Universo de John Wick,2025-06-04,7.073,317,146.4549,A história de uma jovem assassina nas tradições dos Ruska Roma para buscar vingança contra aqueles que destruíram sua família.,en,"Ação, Thriller, Crime",Len Wiseman,Shay Hatten
575265,Missão: Impossível - O Acerto Final,2025-05-17,7.159,804,126.3669,"Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço.",en,"Ação, Aventura, Thriller",Christopher McQuarrie,Christopher McQuarrie
1197306,Resgate Implacável,2025-03-26,6.681,1252,113.0772,"Ele quer viver uma vida simples e ser um bom pai para sua filha. Mas quando a filha adolescente de seu chefe, Jenny, desaparece, ele é chamado para reempregar as habilidades que o tornaram uma figura lendária nas operações secretas.",en,"Ação, Crime, Thriller",David Ayer,Sylvester Stallone
1097311,Echo Valley,2025-06-13,6.448,106,117.1462,"Kate é uma mãe, cuja vida reclusa é interrompida pela filha problemática, que aparece assustada e coberta pelo sangue de alguém. À medida que Kate desvenda a verdade chocante, ela descobre até onde pode ir por sua filha.",en,"Thriller, Drama",Michael Pearce,Brad Ingelsby
1284120,A Meia-irmã Feia,2025-03-07,7.102,182,114.1627,"Em um reino de conto de fadas onde a beleza é um negócio brutal, Elvira luta para competir com sua meia-irmã incrivelmente linda, e ela fará de tudo para chamar a atenção do príncipe. Uma versão moderna e bem diferente do Conto da ""Cinderela"".",no,"Terror, Comédia, Fantasia, Drama",Emilie Blichfeldt,Emilie Blichfeldt
447273,Branca de Neve,2025-03-12,4.282,1136,112.0483,"Quando a Rainha Má manda matarem sua enteada por inveja de sua beleza, Branca de Neve foge do reino. Ela percorre a floresta e acha uma casinha onde vivem sete anões amigáveis com quem passa viver. Porém, a moça ainda não está a salvo, já que a bruxa planeja dar um fim a sua vida com uma maçã envenenada.",en,"Família, Fantasia",Marc Webb,Erin Cressida Wilson
757725,Shadow Force – Sentença de Morte,2025-05-01,6.372,78,97.1359,"Kyrah e Isaac já foram líderes de um grupo multinacional de forças especiais chamado Shadow Force. Eles quebraram as regras ao se apaixonarem e, para proteger o filho, se rebelaram contra a instituição. Com uma grande recompensa pelas suas cabeças e a vingativa Shadow Force à procura deles, liderada pelo antigo chefe da dupla, a luta dessa família vai se tornar uma guerra.",en,"Ação, Drama, Thriller",Joe Carnahan,Leon Chills
1225915,Ladrão de Joias: Começa o Assalto,2025-04-24,6.721,61,68.851,"Nesta batalha feroz de inteligência e determinação, o astuto vigarista Rehan planeja um roubo de diamantes e tenta enganar Rajan, seu sádico adversário.",hi,"Ação, Thriller",Kookie Gulati,David Logan
1396122,তান্ডব,2025-06-07,8.3,3,91.9417,,bn,"Ação, Thriller",Raihan Rafi,Adnan Adib Khan
1241436,Tempo de Guerra,2025-04-09,7.188,577,87.2654,"Tempo de Guerra faz o espectador se juntar a um pelotão de SEALs da Marinha dos EUA em uma missão de vigilância em território insurgente que não sai conforme o planejado. Uma história visceral e crua sobre a guerra moderna e o sentimento de fraternidade, contada como nunca antes: em tempo real, com base nas memórias daqueles que lutaram.",en,"Guerra, Ação",Ray Mendoza,Alex Garland
1241982,Moana 2,2024-11-21,7.1,2473,98.0325,"Depois de receber um chamado inesperado de seus ancestrais navegadores, Moana vai viajar para mares distantes da Oceania, em águas perdidas em uma aventura perigosa.",en,"Animação, Aventura, Família, Comédia",Dana Ledoux Miller,Dana Ledoux Miller
10191,Como Treinar o Seu Dragão,2010-03-18,7.845,13491,87.8709,"Soluço é um jovem viking que desafia a tradição, quando fica amigo de um dos mais mortais inimigos — um feroz dragão que ele chama de Banguela.",en,"Fantasia, Aventura, Animação, Família",Chris Sanders,Dean DeBlois
1403735,లైలా,2025-02-14,4.75,4,87.6565,,te,"Comédia, Romance",Ram Narayan,Vasudeva Murthy
1100988,Extermínio: A Evolução,2025-06-18,8.0,26,86.7855,"Já se passaram quase três décadas desde que o vírus da raiva escapou de um laboratório de armas biológicas. Agora, sob uma quarentena rigidamente imposta, alguns conseguiram encontrar maneiras de sobreviver em meio aos infectados. Um desses grupos vive em uma pequena ilha, ligada ao continente por uma única passagem fortemente protegida. Quando um dos membros parte em uma missão rumo ao sombrio coração do continente, ele descobre segredos, maravilhas e horrores que transformaram não apenas os infectados, mas também outros sobreviventes.",en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
