id_filme,titulo,data_lancamento,media_avaliacoes,numero_avaliacoes,popularidade,idioma_original,generos,diretor,roteirista
1257960,Sikandar,2025-03-29,4.84,50,62.9694,hi,"Ação, Drama",A.R. Murugadoss,A.R. Murugadoss
11544,Lilo & Stitch,2002-06-21,7.555,6628,62.8544,en,"Animação, Família, Comédia",Chris Sanders,Dean DeBlois
939243,Sonic 3: O Filme,2024-12-19,7.7,2690,58.9546,en,"Ação, Ficção científica, Comédia, Família",Jeff Fowler,John Whittington
1010581,Minha Culpa,2023-06-08,7.8,3711,62.2082,es,"Romance, Drama",Domingo González,Domingo González
1022787,Elio,2025-06-18,6.595,21,60.1948,en,"Família, Comédia, Aventura, Animação, Ficção científica",Adrian Molina,Julia Cho
7451,Triplo X,2002-08-09,5.945,4439,59.5379,en,"Ação, Aventura, Thriller, Crime",Rob Cohen,Rich Wilkes
1395724,痴人の愛,2024-11-29,6.0,1,59.3449,ja,Drama,Kishū Izuchi,Kaori Kotani
1426680,Nossos Tempos,2025-06-09,6.75,40,59.1939,es,"Ficção científica, Romance, Comédia",Chava Cartas,Angélica Gudiño
166428,Como Treinar o Seu Dragão 3,2019-01-03,7.75,6638,55.1007,en,"Animação, Família, Aventura",Dean DeBlois,Dean DeBlois
170,Extermínio,2002-10-31,7.238,7207,53.9032,en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
977294,Soldado Tin,2025-05-22,4.877,57,52.2807,en,"Ação, Thriller",Brad Furman,Brad Furman
1022787,Elio,2025-06-18,7.1,17,60.1948,en,"Família, Comédia, Aventura, Animação, Ficção científica",Adrian Molina,Julia Cho
56379,Casotto,1977-10-27,6.474,65,42.8641,it,Comédia,Sergio Citti,Vincenzo Cerami
950396,Entre Montanhas,2025-02-13,7.711,2704,45.3919,en,"Romance, Ficção científica, Thriller",Scott Derrickson,Zach Dean
1303162,Cells at Work!,2024-12-13,7.5,21,46.6914,ja,"Aventura, Ação, Comédia, Fantasia",Hideki Takeuchi,Yuichi Tokunaga
1136867,Amores Materialistas,2025-06-12,7.2,27,48.118,en,"Romance, Drama",Celine Song,Celine Song
1094473,Bambi: Uma aventura na floresta,2024-10-16,6.036,28,47.2482,fr,"Aventura, Família, Documentário",Michel Fessler,Michel Fessler
1234821,Jurassic World: Recomeço,2025-07-01,0.0,0,46.7286,en,"Ficção científica, Aventura, Ação",Gareth Edwards,David Koepp
897160,Mulher Valente,2023-10-25,6.947,47,45.2967,ko,"Ação, Drama, Comédia",Park Jin-pyo,Hyeon Choong-yeol
1022789,Divertida Mente 2,2024-06-11,7.553,5922,45.3736,en,"Animação, Aventura, Comédia, Família",Kelsey Mann,Meg LeFauve
1156593,Sua Culpa,2024-12-26,7.132,1277,43.3862,es,"Romance, Drama",Domingo González,Domingo González
170,Extermínio,2002-10-31,7.238,7206,53.9032,en,"Terror, Thriller, Ficção científica",Danny Boyle,Alex Garland
1297028,Rosario,2025-05-01,5.561,41,42.6546,en,Terror,Felipe Vargas,Alan Trezza
533535,Deadpool & Wolverine,2024-07-24,7.592,7374,42.0133,en,"Ação, Comédia, Ficção científica",Shawn Levy,Rhett Reese
1219555,Wunderschöner,2025-02-13,8.2,16,45.9222,de,"Comédia, Drama, Romance",Karoline Herfurth,Monika Fäßler
1001414,Rua do Medo: Rainha do Baile,2025-05-23,5.373,315,41.3821,en,"Terror, Mistério",Matt Palmer,Matt Palmer
1124620,O Macaco,2025-02-14,5.9,713,44.2381,en,"Terror, Comédia",Osgood Perkins,Osgood Perkins
1184918,Robô Selvagem,2024-09-12,8.314,5068,45.9876,en,"Animação, Ficção científica, Família",Chris Sanders,Chris Sanders
1184918,Robô Selvagem,2024-09-12,8.314,5068,45.9876,en,"Animação, Ficção científica, Família",Chris Sanders,Chris Sanders
302946,O Contador,2016-10-13,7.121,6745,39.3209,en,"Crime, Thriller, Drama",Gavin O'Connor,Bill Dubuque
912649,Venom: A Última Rodada,2024-10-22,6.717,3499,39.8114,en,"Ação, Ficção científica, Aventura",Kelly Marcel,Kelly Marcel
1098006,A Fonte da Juventude,2025-05-19,6.401,491,41.5595,en,"Aventura, Fantasia, Mistério",Guy Ritchie,James Vanderbilt
1238307,Masameer Junior,2025-06-11,7.0,5,40.917,ar,"Animação, Comédia, Aventura, Ação",Malik Nejer,Abdulaziz Almuzaini
30484,Warrior Queen,1987-01-26,3.581,31,33.1,en,"Ação, História, Aventura",Chuck Vincent,Rick Marx
967160,Claudia,1985-12-12,0.0,0,43.2174,en,Drama,Anwar Kawadri,Michael Winner
519182,Meu Malvado Favorito 4,2024-06-20,7.038,2806,38.5568,en,"Família, Comédia, Animação, Ficção científica",Chris Renaud,Mike White
